id,college_name,college_slug,district,city,region
14,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",b-r-a-c-ts-vishwakarma-institute-of-information-technology-kondhwa-bk-pune,Pune,Kondhwa,Pune Region
15,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",vivekanand-education-societys-institute-of-technology-chembur-mumbai,Mumbai,Chembur,Mumbai Region
16,K J Somaiya Institute of Technology,k-j-somaiya-institute-of-technology,Mumbai,Sion,Mumbai Region
17,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",dr-d-y-patil-pratishthans-d-y-patil-college-of-engineering-akurdi-pune,Pune,Akurdi,Pune Region
18,"Government College of Engineering, Aurangabad",government-college-of-engineering-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
19,"Government College of Engineering, Nagpur",government-college-of-engineering-nagpur,Nagpur,Nagpur,Vidarbha
20,"Thakur College of Engineering and Technology, Kandivali, Mumbai",thakur-college-of-engineering-and-technology-kandivali-mumbai,Mumbai,Kandivali,Mumbai Region
21,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate (Wani) Institute of Management, Pune",pune-vidyarthi-grihas-college-of-engineering-and-technology-and-g-k-pate-wani-institute-of-management-pune,Pune,Pune,Pune Region
22,"Vidyalankar Institute of Technology, Wadala, Mumbai",vidyalankar-institute-of-technology-wadala-mumbai,Mumbai,Wadala,Mumbai Region
23,"Government College of Engineering, Karad",government-college-of-engineering-karad,Satara,Karad,Pune Region
24,"Jaywant Shikshan Prasarak Mandal's, Rajarshi Shahu College of Engineering, Tathawade, Pune",jaywant-shikshan-prasarak-mandals-rajarshi-shahu-college-of-engineering-tathawade-pune,Pune,Tathawade,Pune Region
25,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",pimpri-chinchwad-education-trusts-pimpri-chinchwad-college-of-engineering-and-research-ravet,Pune,Pimpri,Pune Region
26,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",agnel-charities-fr-c-rodrigues-institute-of-technology-vashi-navi-mumbai,Mumbai,Mumbai,Mumbai Region
27,"Fr. Conceicao Rodrigues College of Engineering, Bandra, Mumbai",fr-conceicao-rodrigues-college-of-engineering-bandra-mumbai,Mumbai,Bandra,Mumbai Region
28,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",shri-guru-gobind-singhji-institute-of-engineering-and-technology-nanded,Nanded,Nanded,Chhatrapati Sambhajinagar (Marathwada)
29,"MIT Academy of Engineering, Alandi, Pune",mit-academy-of-engineering-alandi-pune,Pune,Alandi,Pune Region
30,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",all-india-shri-shivaji-memorial-societys-college-of-engineering-pune,Pune,Pune,Pune Region
31,"Kolhapur Institute of Technology's College of Engineering (Autonomous), Kolhapur",kolhapur-institute-of-technologys-college-of-engineering-autonomous-kolhapur,Kolhapur,Kolhapur,Pune Region
32,"Government College of Engineering, Amravati",government-college-of-engineering-amravati,Amravati,Amravati,Vidarbha
33,"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Pune,Pune,Pune Region
34,"International Institute of Information Technology (IÃ‚Â²IT), Pune.",international-institute-of-information-technology-iit-pune,Pune,Pune,Pune Region
35,"St. Francis Institute of Technology, Borivali, Mumbai",st-francis-institute-of-technology-borivali-mumbai,Mumbai,Borivali,Mumbai Region
36,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",dr-d-y-patil-unitech-societys-dr-d-y-patil-institute-of-technology-pimpri-pune,Pune,Pimpri,Pune Region
37,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",k-e-societys-rajarambapu-institute-of-technology-walwa-sangli,Sangli,Sangli,Pune Region
38,"Government College of Engineering & Research, Avasari Khurd",government-college-of-engineering--research-avasari-khurd,Pune,Avasari,Pune Region
39,"Don Bosco Institute of Technology, Mumbai",don-bosco-institute-of-technology-mumbai,Mumbai,Mumbai,Mumbai Region
40,"Sardar Patel College of Engineering, Andheri",sardar-patel-college-of-engineering-andheri,Mumbai,Sardar Patel College of Engineering,Mumbai Region
41,"Progressive Education Society's Modern College of Engineering, Pune",progressive-education-societys-modern-college-of-engineering-pune,Pune,Pune,Pune Region
42,"Bharati Vidyapeeth's College of Engineering, Lavale, Pune",bharati-vidyapeeths-college-of-engineering-lavale-pune,Pune,Lavale,Pune Region
43,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",s-i-e-s-graduate-school-of-technology-nerul-navi-mumbai,Mumbai,Mumbai,Mumbai Region
44,"K. K. Wagh Institute of Engineering Education and Research, Nashik",k-k-wagh-institute-of-engineering-education-and-research-nashik,Nashik,Nashik,Nashik / North Maharashtra
45,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",dr-d-y-patil-institute-of-engineering-management--reseach-akurdi-pune,Pune,Akurdi,Pune Region
46,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",manjara-charitable-trusts-rajiv-gandhi-institute-of-technology-mumbai,Mumbai,Mumbai,Mumbai Region
47,"Shri Sant Gajanan Maharaj College of Engineering, Shegaon",shri-sant-gajanan-maharaj-college-of-engineering-shegaon,Buldhana,Shegaon,Vidarbha
48,"Yeshwantrao Chavan College of Engineering, Wanadongri, Nagpur",yeshwantrao-chavan-college-of-engineering-wanadongri-nagpur,Nagpur,Wanadongri,Vidarbha
49,"Sinhgad College of Engineering, Vadgaon (BK), Pune",sinhgad-college-of-engineering-vadgaon-bk-pune,Pune,Vadgaon,Pune Region
50,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",bharati-vidyapeeth-college-of-engineering-navi-mumbai,Mumbai,Mumbai,Mumbai Region
51,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",dattajirao-kadam-technical-education-societys-textile--engineering-institute-ichalkaranji,Kolhapur,Ichalkaranji,Pune Region
52,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",amrutvahini-sheti--shikshan-vikas-sansthas-amrutvahini-college-of-engineering-sangamner,Ahmednagar,Sangamner,Nashik / North Maharashtra
53,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",marathwada-mitra-mandals-college-of-engineering-karvenagar-pune,Pune,Karvenagar,Pune Region
54,"Mahatma Education Society's Pillai College of Engineering, New Panvel",mahatma-education-societys-pillai-college-of-engineering-new-panvel,Raigad,New Panvel,Mumbai Region
55,"D.Y. Patil College of Engineering and Technology, Kolhapur",d-y-patil-college-of-engineering-and-technology-kolhapur,Kolhapur,Kolhapur,Pune Region
